stazPart,stazArr
BARDONECCHIA,TORINO
SUSA,TORINO
SESTRI,GENOVA
PADOVA,VENEZIA
MILANO,LODI
MILANO,MELEGNANO
PONTE,MILANO
LECCO,MILANO
LECCO,MONZA
SARONNO,MILANO
SARONNO,MILANO
M,MALPENSA
M,SARONNO
ASSO,M
MALPENSA,M
CAMNAGO,M
M,CAMNAGO
NOVARA,M
M,SARONNO
COMO,M
LAVENO,M
ERBA,M
SARONNO,M
COMO,M
MALPENSA,M
LAVENO,M
BORGO,FIRENZE
FIRENZE,PISTOIA
PORRETTA,BOLOGNA
VIGNOLA,BOLOGNA
PORRETTA,BOLOGNA
PRATO,BOLOGNA
BOLOGNA,S.FELICE
BOLOGNA,FERRARA
BASSANO,VENEZIA
BASSANO,VENEZIA
BRESCIA,MILANO
LATINA,ROMA
NETTUNO,ROMA
MINTURNO,ROMA
FIUMICINO,ROMA
VILLA,ROMA
FIUMICINO,ROMA
ROMA,FIUMICINO
ROMA,FIUMICINO
ROMA,FIUMICINO
PORTO,SASSARI
MI.P.GENOVA,MORTARA
SAN,CAGLIARI
ORISTANO,CAGLIARI
ALA,TRENTO
PUNTA,PALERMO
CASTELPLANIO,ANCONA
TREVIGLIO,BERGAMO
SESTRI,LA SPEZIA
BERCETO,PARMA
CARNATE,MILANO
BORGO,FIRENZE
VENEZIA,VENEZIA
SIRACUSA,MESSINA
REGGIO,COSENZA
MESSINA,PALERMO
CASERTA,ROMA
LA SPEZIA,MILANO
LA SPEZIA,SAVONA
BENEVENTO,ROMA
SIRACUSA,MESSINA
AVEZZANO,CASSINO
AVEZZANO,ROMA
SONDRIO,MILANO
POTENZA,FOGGIA
FORTEZZA,VERONA
CATANZARO,SIBARI
CATANZARO,REGGIO
FABRIANO,ANCONA
COSENZA,REGGIO
LAMEZIA,REGGIO
VENTIMIGLIA,GENOVA
FOLIGNO,ANCONA
GROSSETO,ROMA
GROSSETO,FIRENZE
REGGIO,LAMEZIA
VARESE,TREVIGLIO
FOGGIA,POTENZA
FAENZA,FIRENZE
MESSINA,S.AGATA
TRENTO,BRENNERO
UDINE,VENEZIA
RIMINI,S.PIETRO
SAVONA,SESTRI
SAVONA,VENTIMIGLIA
TORINO,GENOVA
PALERMO,MESSINA
PALERMO,AGRIGENTO
LA SPEZIA,GENOVA
NOVARA,IVREA
VENEZIA,TRIESTE
VERONA,VENEZIA
VERONA,MILANO
SESTRI,MILANO
PISA,AULLA
NAPOLI,ROMA
NAPOLI,SAPRI
NAPOLI,FIUMICINO
SALERNO,ROMA
SALERNO,POTENZA
GENOVA,VENTIMIGLIA
MILANO,BOLOGNA
FIRENZE,ROMA
BOLOGNA,MILANO
BOLOGNA,MILANO
ROMA,NAPOLI
ROMA,MILANO
ISERNIA,NAPOLI
SASSARI,OLBIA
DITTAINO,PALERMO
BENEVENTO,ROMA
BENEVENTO,NAPOLI
SIBARI,CATANZARO
SONDRIO,LECCO
POTENZA,FOGGIA
POTENZA,SALERNO
BRENNERO,MERANO
SULMONA,TERAMO
BELLUNO,VENEZIA
PESCARA,ANCONA
CASSINO,AVEZZANO
CASSINO,NAPOLI
CASSINO,ROMA
TERNI,L`AQUILA
COLICO,MILANO
ORBETELLO,PISA
GROSSETO,SIENA
ANCONA,ASCOLI
CIVITANOVA,FABRIANO
VENEZIA,BOLOGNA
FOSSANO,SAVONA
TERONTOLA,ROMA
CHIUSI,FOLIGNO
CHIUSI,PISTOIA
CHIUSI,FIRENZE
RAVENNA,FERRARA
RAVENNA,PESARO
IVREA,NOVARA
SIENA,FIRENZE
MANTOVA,MODENA
VARESE,TREVIGLIO
FOGGIA,POTENZA
MESSINA,CATANIA
CREMONA,MILANO
TRENTO,BASSANO
VIAREGGIO,FIRENZE
BARLETTA,FASANO
PARMA,MILANO
UDINE,VENEZIA
TRIESTE,VENEZIA
TRIESTE,CARNIA
RIMINI,BOLOGNA
FERRARA,VENEZIA
FERRARA,IMOLA
FERRARA,CODIGORO
CASERTA,CASSINO
TORINO,MILANO
CHIVASSO,PINEROLO
CHIVASSO,ALESSANDRIA
SAVONA,ALESSANDRIA
SAVONA,RECCO
TORINO,GENOVA
TORINO,MILANO
FIRENZE,AREZZO
VENEZIA,MILANO
LA SPEZIA,LIVORNO
LA SPEZIA,PISA
BARI,LECCE
BARI,FOGGIA
BARI,TARANTO
ALESSANDRIA,MI.P.GENOVA
PARMA,BRESCIA
PARMA,SUZZARA
NOVARA,DOMODOSSOLA
NOVARA,BIELLA
NOVARA,IVREA
NOVARA,TREVIGLIO
TREVISO,BELLUNO
TREVIGLIO,VARESE
PAVIA,CODOGNO
